DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE,SUBPANEL
cmip5.output1.BCC.bcc-csm1-1.midHolocene,mon,atmos,Amon,r1i1p1,v1,pr,,
cmip5.output1.BCC.bcc-csm1-1-m.piControl,mon,atmos,Amon,r1i1p1,v20120705,pr,,
cmip5.output1.CNRM-CERFACS.CNRM-CM5.midHolocene,mon,atmos,Amon,r1i1p1,v20110927,pr,,
cmip5.output1.CNRM-CERFACS.CNRM-CM5.piControl,mon,atmos,Amon,r1i1p1,v20110701,pr,,
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.midHolocene,mon,atmos,Amon,r1i1p1,v20120323,pr,,
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.piControl,mon,atmos,Amon,r1i1p1,v1,pr,,
cmip5.output1.IPSL.IPSL-CM5A-LR.midHolocene,mon,atmos,Amon,r1i1p1,v20111119,pr,,
cmip5.output1.IPSL.IPSL-CM5A-LR.piControl,mon,atmos,Amon,r1i1p1,v20130506,pr,,
cmip5.output1.LASG-CESS.FGOALS-g2.midHolocene,mon,atmos,Amon,r1i1p1,v20161204,pr,,
cmip5.output1.LASG-CESS.FGOALS-g2.piControl,mon,atmos,Amon,r1i1p1,v20161204,pr,,
cmip5.output1.LASG-IAP.FGOALS-s2.midHolocene,mon,atmos,Amon,r1i1p1,v20161204,pr,,
cmip5.output1.LASG-IAP.FGOALS-s2.piControl,mon,atmos,Amon,r1i1p1,v20161204,pr,,
cmip5.output1.MIROC.MIROC-ESM.midHolocene,mon,atmos,Amon,r1i1p1,v20120710,pr,,
cmip5.output1.MIROC.MIROC-ESM.piControl,mon,atmos,Amon,r1i1p1,v20120710,pr,,
cmip5.output1.MOHC.HadGEM2-CC.midHolocene,mon,atmos,Amon,r1i1p1,v20120222,pr,,
cmip5.output1.MOHC.HadGEM2-CC.piControl,mon,atmos,Amon,r1i1p1,v20111109,pr,,
cmip5.output1.MOHC.HadGEM2-ES.midHolocene,mon,atmos,Amon,r1i1p1,v20120222,pr,,
cmip5.output1.MOHC.HadGEM2-ES.piControl,mon,atmos,Amon,r1i1p1,v20110329,pr,,
cmip5.output1.MPI-M.MPI-ESM-P.midHolocene,mon,atmos,Amon,r1i1p2,v20120713,pr,,
cmip5.output1.MPI-M.MPI-ESM-P.piControl,mon,atmos,Amon,r1i1p1,v20120602,pr,,
cmip5.output1.MRI.MRI-CGCM3.midHolocene,mon,atmos,Amon,r1i1p1,v20120701,pr,,
cmip5.output1.MRI.MRI-CGCM3.piControl,mon,atmos,Amon,r1i1p1,v20120701,pr,,
cmip5.output1.NASA-GISS.GISS-E2-R.midHolocene,mon,atmos,Amon,r1i1p1,v20120716,pr,,
cmip5.output1.NASA-GISS.GISS-E2-R.piControl,mon,atmos,Amon,r1i1p3,v20160511,pr,,
cmip5.output1.NCAR.CCSM4.midHolocene,mon,atmos,Amon,r2i1p1,v20120604,pr,,
cmip5.output1.NCAR.CCSM4.piControl,mon,atmos,Amon,r1i1p1,v20160829,pr,,
pmip3.output.CAU-GEOMAR.KCM1-2-2.midHolocene,mon,atmos,Amon,r1i1p1,v20170118,pr,,
pmip3.output.CAU-GEOMAR.KCM1-2-2.piControl,mon,atmos,Amon,r1i1p1,v20170118,pr,,
pmip3.output.ICHEC.EC-EARTH-2-2.midHolocene,mon,atmos,Amon,r1i1p1,v20121120,pr,,
pmip3.output.ICHEC.EC-EARTH-2-2.piControl,mon,atmos,Amon,r1i1p1,v20130128,pr,,
pmip3.output.UNSW.CSIRO-Mk3L-1-2.midHolocene,mon,atmos,Amon,r1i1p1,v20170728,pr,,
pmip3.output.UNSW.CSIRO-Mk3L-1-2.piControl,mon,atmos,Amon,r1i1p1,v20170728,pr,,
