Conventions,G,BADC-CSV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,G,area-averaged changes over five regions  as simulated by CMIP6 models (individually identifiable) and CMIP5 models (blue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creator,G,Chris Brierley (c.brierley@ucl.ac.uk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creator,G,Anni Zhao (anni.zhao.16@ucl.ac.uk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last_revised_date,G,2021/3/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acitivity,G,IPCC AR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_tpye,G,Area averaged data points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,G,Data is for the blue and colored circles in Figure 3.11 in the IPCC Working Group 1 Contribution to the Six Assessment Report: Chapter 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,G,"Five regions include Northern Europe, Western and Central Europe, Mediterranean, Sahara/Sahel and West Africa (Iturbide et al., 2020).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,G,"Data are only sampled at reconstruction points, pollen-based reconstructed annual mean precipitation (MAP) from Bertlein et al. (2011).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference,G,Brierley et al. (2020) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rights,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coordinate_variable,1,region name,No unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,1,region name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,1,"Five regions include Northern Europe, Western and Central Europe, Mediterranean, Sahara/Sahel and West Africa (Iturbide et al., 2020).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,1,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,2,"map_CMIP6color(153,0,255)_AWI-ESM-1-1-LR",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,2,"area-averaged changes over five regions as simulated by AWI-ESM-1-1-LR, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,2,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,3,"map_CMIP6color(67,178,216)_CESM2",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,3,"area-averaged changes over five regions as simulated by CESM2, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,3,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,4,"map_CMIP6color(124,99,184)_EC-Earth3-LR",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,4,"area-averaged changes over five regions as simulated by EC-Earth3-LR, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,4,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,5,"map_CMIP6color(248,154,28)_FGOALS-f3-L",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,5,"area-averaged changes over five regions as simulated by FGOALS-f3-L, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,5,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,6,"map_CMIP6color(248,154,28)_FGOALS-g3",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,6,"area-averaged changes over five regions as simulated by FGOALS-g3, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,6,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,7,"map_CMIP6color(119,29,123)_GISS-E2-1-G",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,7,"area-averaged changes over five regions as simulated by GISS-E2-1-G, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,7,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,8,"map_CMIP6color(122,139,38)_HadGEM3-GC31-LL",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,8,"area-averaged changes over five regions as simulated by HadGEM3-GC31-LL, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,8,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,9,"map_CMIP6color(274,67,67)_INM-CM4-8",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,9,"area-averaged changes over five regions as simulated by INM-CM4-8, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,9,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,10,"map_CMIP6color(91,83,174)_IPSL-CM6A-LR",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,10,"area-averaged changes over five regions as simulated by IPSL-CM6A-LR, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,10,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,11,"map_CMIP6color(184,95,182)_MIROC-ES2L",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,11,"area-averaged changes over five regions as simulated by MIROC-ES2L, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,11,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,12,"map_CMIP6color(93,161,162)_MPI-ESM1-2-LR",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,12,"area-averaged changes over five regions as simulated by MPI-ESM1-2-LR, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,12,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,13,"map_CMIP6color(173,255,47)_MRI-ESM2-0",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,13,"area-averaged changes over five regions as simulated by MRI-ESM2-0, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,13,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_name,14,"map_CMIP6color(174,170,170)_NESM3",mm/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments,14,"area-averaged changes over five regions as simulated by NESM3, a CMIP6 model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,14,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
