Conventions,G,BADC-CSV,1
title,G, Annual mean global temperature change over land and ocean with CO2 abruptly quadrupled and them held constant as simulated by CMIP6 models,
creator,G,Anni Zhao (anni.zhao.16@ucl.ac.uk),
creator,G,Chris Brierley (c.brierley@ucl.ac.uk),
last_revised_date,G,2021/3/14,
acitivity,G,IPCC AR6,
feature_tpye,G,Global Mean Data Points,
comments,G,Data is for the violet circles in Figure 3.2b in the IPCC Working Group 1 Contribution to the Six Assessment Report: Chapter 3,
comments,G,Annual mean global temperature change over sea and over landin the CMIP6 DECK abrupt-4xCO2 experiment as compard to the piControl ,
comments,G,Applied modern land and ocean mask ,
rights,G,,
long_name,1,ann_tas_sea_abrupt4xCO2_CMIP6_individual_models,degrees C
comments,1,Annual mean global temeprature change over sea with CO2 abruptly quadrupled and them held constant as simulated by CMIP6 models,
type,1,float,
long_name,2,ann_tas_land_4xCO2_CMIP6_individual_models,degrees C
comments,2,Annual mean global temeprature change over land with CO2 abruptly quadrupled and them held constant as simulated by CMIP6 models,
type,2,float,
data,,,
1,2,,
4.82,7.11,,
6.49,8.95,,
5.96,8.58,,
4.5,6.77,,
3.69,5.48,,
3.16,4.5,,
8.41,12.37,,
3.54,5.46,,
4.3,6.64,,
4.44,5.79,,
6.1,9.08,,
5.93,8.58,,
end_data,,,
