Conventions,G,BADC-CSV,1
title,G, Annual mean global temperature change over land and ocean at the mid-Holocene (MH) as simulated by CMIP5 models,
creator,G,Anni Zhao (anni.zhao.16@ucl.ac.uk),
creator,G,Chris Brierley (c.brierley@ucl.ac.uk),
last_revised_date,G,2021/3/14,
acitivity,G,IPCC AR6,
feature_tpye,G,Global Mean Data Points,
comments,G,Data is for the salmon  x  in Figure 3.2b in the IPCC Working Group 1 Contribution to the Six Assessment Report: Chapter 3,
comments,G,Annual mean global temperature change over sea and over land in the PMIP3-CMIP5 midHolocene experiment as compard to the piControl ,
comments,G,Applied modern land and ocean mask ,
rights,G,,
long_name,1,ann_tas_sea_MH_CMIP5_individual_models,degrees C
comments,1,Annual mean global temeprature change over sea at the MH as simulated by CMIP5 models,
type,1,float,
long_name,2,ann_tas_land_MH_CMIP5_individual_models,degrees C
comments,2,Annual mean global temeprature change over land at the MH as simulated by CMIP5 models,
type,2,float,
data,,,
1,2,,
-0.12,-0.17,,
-0.2,-0.41,,
0.17,0.21,,
0.02,0,,
-0.01,0.01,,
-0.09,-0.14,,
-0.68,-0.85,,
-0.12,-0.26,,
-0.07,-0.18,,
0.2,0.25,,
0.2,0.34,,
-0.1,-0.06,,
-0.18,-0.42,,
-0.21,-0.32,,
-0.01,-0.06,,
end_data,,,
