Conventions,G,BADC-CSV,1
title,G, Annual mean global temperature change over land and ocean at the Last Interglacial (LIG) as simulated by CMIP6 models,
creator,G,Anni Zhao (anni.zhao.16@ucl.ac.uk),
creator,G,Chris Brierley (c.brierley@ucl.ac.uk),
last_revised_date,G,2021/3/14,
acitivity,G,IPCC AR6,
feature_tpye,G,Global Mean Data Points,
comments,G,Data is for the light blue circles in Figure 3.2b in the IPCC Working Group 1 Contribution to the Six Assessment Report: Chapter 3,
comments,G,Annual mean global temperature change over sea and over landin the PMIP4-CMIP6 lig127k experiment as compard to the piControl ,
comments,G,Applied modern land and ocean mask ,
rights,G,,
long_name,1,ann_tas_sea_LIG_CMIP6_individual_models,degrees C
comments,1,Annual mean global temeprature change over sea at the LIG as simulated by CMIP6 models,
type,1,float,
long_name,2,ann_tas_land_LIG_CMIP6_individual_models,degrees C
comments,2,Annual mean global temeprature change over land at the LIG as simulated by CMIP6 models,
type,2,float,
data,,,
1,2,,
0.29,0.42,,
-0.16,-0.47,,
-0.14,-0.34,,
-0.09,-0.16,,
0.4,0.39,,
0.34,0.71,,
-0.44,-0.57,,
0.29,0.6,,
-0.13,-0.1,,
0.49,0.71,,
-0.15,-0.3,,
-0.29,-0.3,,
-0.33,-0.55,,
-0.07,-0.24,,
0.11,-0.02,,
-0.14,-0.04,,
end_data,,,
