Conventions,G,BADC-CSV,1
title,G, Annual mean global temperature change over land and ocean with CO2 concentration prescribed to increase at 1% per year as simulated by CMIP6 models,
creator,G,Anni Zhao (anni.zhao.16@ucl.ac.uk),
creator,G,Chris Brierley (c.brierley@ucl.ac.uk),
last_revised_date,G,2021/3/14,
acitivity,G,IPCC AR6,
feature_tpye,G,Global Mean Data Points,
comments,G,Data is for the limegreen circles in Figure 3.2b in the IPCC Working Group 1 Contribution to the Six Assessment Report: Chapter 3,
comments,G,Annual mean global temperature change over sea and over landin the CMIP6 DECK 1pctCO2 experiment as compard to the piControl ,
comments,G,Applied modern land and ocean mask ,
rights,G,,
long_name,1,ann_tas_sea_1pctCO2_CMIP6_individual_models,degrees C
comments,1,Annual mean global temeprature change over sea with CO2 concentration prescribed to increase at 1% per year as simulated by CMIP6 models,
type,1,float,
long_name,2,ann_tas_land_1pctCO2_CMIP6_individual_models,degrees C
comments,2,Annual mean global temeprature change over land with CO2 concentration prescribed to increase at 1% per year as simulated by CMIP6 models,
type,2,float,
data,,,
1,2,,
3.65,5.74,,
4.43,6.3,,
4.77,7.11,,
4.3,6.78,,
0.59,1.04,,
2.68,3.87,,
4.73,7.48,,
3.01,4.8,,
4,6.41,,
3.28,4.42,,
5.16,7.93,,
2.66,4.83,,
end_data,,,
